name,stationID,聚类簇号,站点类型,日均总客流,周末比,早高峰进站占比,晚高峰进站占比,早高峰出站占比
Sanlin,1155,3,通勤居住站,63298.032567049806,0.7474552836163664,0.18802027382347183,0.03521134253717259,0.049580220540237044
East Sanlin,1156,3,通勤居住站,42931.63888888889,0.6817909778625091,0.18865771238162554,0.03995831575956761,0.05537249854698986
Pusan Road,1157,2,休闲商圈站,36302.09003831418,0.6451818046697185,0.1767335747650708,0.046738866835779456,0.06701670560672207
Yuqiao,1159,3,通勤居住站,55733.79406130269,0.7109557650360475,0.15924903413742073,0.05882149908819296,0.07345332841429865
Xiuyan Road,1161,3,通勤居住站,47841.94061302682,0.7876226912864545,0.1965618383071834,0.02915253692171113,0.03797931269482276
Kangxin Highway,1162,2,休闲商圈站,25271.507662835247,0.7633051963241436,0.12383065608265499,0.09048482196802736,0.10867345875782425
Disney Resort,1163,2,休闲商圈站,46960.41187739464,1.428774556167406,0.02213105792202553,0.0830105620833453,0.13419490963566783
Qixin Road,1220,3,通勤居住站,54105.98180076628,0.5212573123795095,0.14175505638959793,0.07721190414154012,0.093963035949974
Hongxin Road,1221,2,休闲商圈站,21397.471264367818,0.6595157078914315,0.1858194028925463,0.036292953366118756,0.058973795559152734
Gudai Road,1222,2,休闲商圈站,27531.392720306514,0.6262427618247105,0.16815182112614252,0.03683551882195917,0.0590463618647607
Donglan Road,1223,2,休闲商圈站,24455.02203065134,0.70041129224114,0.1874798787561938,0.03703979298656474,0.06072262346596859
Hongmei Road,1224,2,休闲商圈站,47498.8908045977,0.35760025861533695,0.083087236040307,0.1496257212764105,0.14460633951538787
Hongcao Road,1225,3,通勤居住站,53365.74521072797,0.3776418809097161,0.07576751946913966,0.14682255596406307,0.1429764721748538
Guilin Park,1226,2,休闲商圈站,36377.977969348656,0.6991772155523271,0.11294530514363917,0.08877409150884338,0.10023201261240867
International Cruise Terminal,1238,2,休闲商圈站,34759.42816091954,0.42487750531607377,0.062034098933734974,0.1504309229550322,0.15605323371983934
Tilanqiao,1239,2,休闲商圈站,32449.93965517241,0.5092745054746487,0.07628774751480501,0.13220159758844935,0.14517842438412878
